file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,109,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,27
style.css,110,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,16
style.css,111,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,112,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,41
style.css,113,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,22
style.css,114,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,115,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,49
style.css,116,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,53
style.css,117,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,118,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,119,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,24
style.css,120,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,27
style.css,121,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,47
style.css,122,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,123,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,124,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,125,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,9
style.css,126,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,127,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,128,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,129,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,14
style.css,130,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,15
style.css,131,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,21
style.css,132,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,133,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,134,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,3
style.css,135,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,15
style.css,136,css,ff8cc707,Igosain08,2025-05-02,17:43:17,-07:00,2025-05-02T17:43:17-07:00,0,0
style.css,137,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,138,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,139,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,23
style.css,140,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,16
style.css,141,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,142,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,143,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,144,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,9
style.css,145,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,146,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,26
style.css,147,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,26
style.css,148,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,149,css,ff8cc707,Igosain08,2025-05-02,17:43:17,-07:00,2025-05-02T17:43:17-07:00,0,0
style.css,150,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,14
style.css,151,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,152,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,9
style.css,153,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,11
style.css,154,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,14
style.css,155,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,20
style.css,156,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,157,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,158,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,5
style.css,159,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,8
style.css,160,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,6
style.css,161,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,7
style.css,162,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,163,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
